order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount
O00000,31-01-2024,C0125,P1086,0,Online,2,80.63,0.05,153.2
O00001,29-09-2024,C0633,P0973,S042,In-Store,20,209.16,0.05,3974
O00002,29-08-2023,C0653,P0659,0,Online,2,218.6,0.1,393.48
O00003,13-05-2024,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82
O00004,22-07-2024,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94
O00005,16-12-2024,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59
O00006,25-09-2023,C0532,P1171,S045,In-Store,2,230.62,0,461.24
O00007,27-09-2023,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51
O00008,01-03-2024,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17
O00009,02-12-2023,C0174,P0183,0,Online,3,304.66,0,913.98
O00010,03-05-2023,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65
O00011,12-04-2024,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84
O00012,13-11-2024,C0708,P0681,S059,In-Store,1,342.55,0,342.55
O00013,05-10-2024,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64
O00014,18-11-2024,C0228,P0530,0,Online,2,274.32,0,548.64
O00015,06-05-2024,C0348,P0528,S047,In-Store,2,102.08,0,204.16
O00016,16-07-2023,C0130,P0641,S036,In-Store,1,240.92,0,240.92
O00017,19-01-2025,C0604,P1096,0,Online,1,214.66,0.2,171.73
O00018,05-03-2025,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88
O00019,28-04-2023,C0616,P0255,0,Online,10,21.15,0.2,169.2
O00020,15-03-2024,C0471,P0647,0,Online,2,139.35,0.1,250.83
O00021,27-11-2023,C0511,P0933,0,Online,2,25.25,0.1,45.45
O00022,28-06-2024,C0681,P0070,S019,In-Store,2,235,0,470
O00023,10-10-2024,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29
O00024,16-07-2024,C0721,P0771,0,Online,2,155.11,0.1,279.2
O00025,19-05-2024,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33
